generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,best_distance,avg_distance,diversity
188,98,-1964.7024162355083,-210.11471810070515,-1064.453187279496,643.9229072124999,100.11471810070515,108.82926222009715,0.608
189,98,-1903.9044282161406,-210.11471810070515,-980.0695248676055,646.5714531889935,100.11471810070515,106.32008751024271,0.614
190,98,-1855.775784845812,-210.11471810070515,-1031.0299157301329,645.8576174851461,100.11471810070515,108.03492143798958,0.63
191,98,-1903.9044282161406,-210.11471810070515,-1087.3716356180926,610.8405394016362,100.11471810070515,108.23560566028914,0.716
192,98,-1901.379107111049,-210.11471810070515,-1074.2468860590484,644.092143171205,100.11471810070515,108.75765600860166,0.735
193,98,-2021.3053599391872,-210.11471810070515,-1036.484849700322,665.8248782463909,100.11471810070515,110.34687843255836,0.699
194,98,-1862.0093628986767,-210.11471810070515,-999.7887812140407,641.1753355801022,100.11471810070515,108.13623442416012,0.741
195,98,-1923.8731676065045,-210.11471810070515,-1005.5509090666925,658.5918912178804,100.11471810070515,108.8378607001731,0.645
196,98,-1903.9044282161406,-210.11471810070515,-981.1175492199392,666.9261496584471,100.11471810070515,109.05720774946924,0.713
197,98,-1812.7737205328342,-210.11471810070515,-1076.9430730167555,614.7393643714457,100.11471810070515,108.54753864281297,0.746
198,98,-1791.4366319547241,-210.11471810070515,-904.0280721762086,642.7612403668065,100.11471810070515,106.63948658564168,0.638
199,98,-1901.4482134285947,-210.11471810070515,-1091.2742890934642,626.660206005057,100.11471810070515,109.47731851651199,0.781
200,98,-1929.936742317836,-210.11471810070515,-939.5914054032244,660.0374598209788,100.11471810070515,106.98757202532347,0.658
201,98,-1873.437356435712,-210.11471810070515,-1070.9370366951812,663.9494950277996,100.11471810070515,110.03305026570105,0.618
202,98,-1956.061026456404,-210.11471810070515,-1016.5797410344807,651.8808346851883,100.11471810070515,108.86835075402607,0.524
203,98,-1987.8320067229615,-210.11471810070515,-1040.7599933167362,660.1075264997295,100.11471810070515,110.62930373226416,0.628
204,98,-1922.91987517406,-210.11471810070515,-1112.683209538701,627.1273122663072,100.11471810070515,109.34612541159592,0.695
205,98,-1808.6650264965538,-210.11471810070515,-943.8533670427609,653.5951284453848,100.11471810070515,107.7383352041988,0.663
206,98,-1974.8318998232166,-210.11471810070515,-1001.9404732408416,681.4958407835885,100.11471810070515,109.85304293536508,0.619
207,98,-1901.0022774870542,-209.98483545434843,-930.7044934749757,642.8381600113147,99.98483545434843,107.33494463579524,0.641
208,98,-1895.0459144528872,-209.98483545434843,-1141.4434446554997,618.649980624287,99.98483545434843,110.29217980557515,0.751
209,98,-1831.254448504973,-209.98483545434843,-897.533053443968,642.955355112788,99.98483545434843,106.91798592030051,0.632
210,98,-2029.980057788273,-208.14860715294103,-1029.8630088619018,665.8630060643148,98.14860715294103,109.25591097528316,0.679
211,98,-1839.1789070516993,-208.14860715294103,-958.9799312078085,657.1682070710714,98.14860715294103,107.30237122123707,0.598
212,98,-1849.532647457156,-208.0187245065843,-1074.9487334095595,648.5709349671695,98.0187245065843,108.91538498742165,0.785
213,98,-1901.4482134285947,-208.0187245065843,-923.6819769310343,649.704339889684,98.0187245065843,107.1446602357127,0.694
214,98,-1974.6242095521134,-208.0187245065843,-1106.932955969352,651.3980569849016,98.0187245065843,110.41948286267592,0.762
215,98,-1883.9216248953462,-208.0187245065843,-1151.700006382084,607.3411275452753,98.0187245065843,110.4636960168202,0.767
216,98,-1973.9018895759996,-208.0187245065843,-961.4648868289762,636.7327934321187,98.0187245065843,106.99511543732805,0.623
217,98,-1837.4097502783636,-208.0187245065843,-1015.6241906210944,644.9617739156623,98.0187245065843,106.69665963838209,0.619
218,98,-1903.9044282161406,-208.0187245065843,-976.7594818570907,661.2478194261469,98.0187245065843,108.85690423087526,0.664
219,98,-1854.1583959604127,-208.0187245065843,-1056.1910402192837,626.327347810634,98.0187245065843,106.09030913039025,0.659
220,98,-1873.5297820483877,-208.0187245065843,-937.89346265864,680.4549515171358,98.0187245065843,107.00699047829644,0.689
221,98,-1837.4097502783636,-208.0187245065843,-1065.794712260384,634.4413251596986,98.0187245065843,107.75554967880416,0.708
222,98,-2106.1449759603765,-208.0187245065843,-962.6479932308152,668.1986441773797,98.0187245065843,106.77896223387711,0.659
223,98,-1752.8927202288814,-208.0187245065843,-985.1268483375038,638.9211194954327,98.0187245065843,105.50505107056676,0.654
224,98,-1796.3782398818034,-208.0187245065843,-1026.1161823744926,643.8560392247133,98.0187245065843,107.27858436005238,0.578
225,98,-2106.1449759603765,-208.0187245065843,-1187.2288216137808,602.5213420105973,98.0187245065843,108.81753422547837,0.785
226,98,-1821.6921751536092,-208.0187245065843,-1107.8671887377789,604.3442944895912,98.0187245065843,105.86847835609915,0.76
227,98,-1885.3538385567076,-208.0187245065843,-1042.658553244869,650.9325189654222,98.0187245065843,107.47156456610502,0.696
